,Price Range,Cuisine Style,URL_TA,Number of Reviews
0,$$ - $$$,"['Asian', 'Nepali']",/Restaurant_Review-g189852-d7992032-Reviews-Buddha_Nepal-Stockholm.html,15.0
1,,,/Restaurant_Review-g187323-d1358776-Reviews-Esplanade-Berlin.html,3.0
2,$$ - $$$,"['Bar', 'European', 'Portuguese']",/Restaurant_Review-g189180-d12503536-Reviews-Dick_s_Bar-Porto_Porto_District_Northern_Portugal.html,44.0
3,,,/Restaurant_Review-g274924-d3199765-Reviews-Ristorante_Italiano_San_Cono-Bratislava_Bratislava_Region.html,9.0
4,,"['Cafe', 'European']",/Restaurant_Review-g190454-d12845029-Reviews-Grunstern-Vienna.html,1.0
5,$,,/Restaurant_Review-g187497-d10696479-Reviews-Restaurant_El_Plaer-Barcelona_Catalonia.html,12.0
6,,"['Asian', 'Thai', 'Vietnamese']",/Restaurant_Review-g187323-d10266473-Reviews-Akira_Sushi_Streetfood-Berlin.html,4.0
8,$$ - $$$,"['Spanish', 'Wine Bar']",/Restaurant_Review-g187514-d10060659-Reviews-Gaditaun-Madrid.html,11.0
10,,,/Restaurant_Review-g187147-d2040769-Reviews-Le_Paradis-Paris_Ile_de_France.html,4.0
11,$,"['Bar', 'Mediterranean', 'Spanish']",/Restaurant_Review-g187514-d5776152-Reviews-Argayo-Madrid.html,16.0
12,$$ - $$$,"['American', 'European', 'Diner']",/Restaurant_Review-g189541-d11841754-Reviews-Cafe_Phenix-Copenhagen_Zealand.html,31.0
13,,,/Restaurant_Review-g274887-d8791087-Reviews-Bunny_Chinese_Fast_Food-Budapest_Central_Hungary.html,1.0
14,,,/Restaurant_Review-g187265-d3543959-Reviews-Vietnam_City-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0
15,$$ - $$$,"['Italian', 'Bar', 'Vegetarian Friendly']",/Restaurant_Review-g187849-d12447161-Reviews-Le_Biciclette_Art_Bar_Bistrot-Milan_Lombardy.html,762.0
16,$$ - $$$,"['Japanese', 'Sushi', 'Asian']",/Restaurant_Review-g189158-d5981466-Reviews-Aya_Bistrot-Lisbon_Lisbon_District_Central_Portugal.html,28.0
17,,"['European', 'British', 'Pub']",/Restaurant_Review-g186338-d7276832-Reviews-Duke_of_Wellington-London_England.html,15.0
18,$$ - $$$,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",/Restaurant_Review-g187514-d12550964-Reviews-Ginos_Monforte_de_Lemos_193-Madrid.html,35.0
19,$,"['Chinese', 'Fast Food', 'Sushi']",/Restaurant_Review-g189541-d5408595-Reviews-China-Copenhagen_Zealand.html,16.0
20,,,/Restaurant_Review-g186338-d12391114-Reviews-Lahori_Tikka_Masala-London_England.html,8.0
21,$,"['Asian', 'Vietnamese']",/Restaurant_Review-g187147-d7332770-Reviews-Chez_Kim_Ly-Paris_Ile_de_France.html,40.0
22,,,/Restaurant_Review-g187514-d697485-Reviews-Casa_Santa_Cruz-Madrid.html,6.0
23,,,/Restaurant_Review-g187147-d1035491-Reviews-Le_Kaiku-Paris_Ile_de_France.html,2.0
24,$,"['Specialty Food Market', 'German', 'Deli']",/Restaurant_Review-g186338-d12676684-Reviews-The_German_Deli-London_England.html,17.0
25,,,/Restaurant_Review-g274856-d11770289-Reviews-Bar_Hoa_Lan-Warsaw_Mazovia_Province_Central_Poland.html,2.0
